15,560,567,553,557,557,553,563,559,573,556
20,450,512,510,516,509,513,513,511,512,514
25,430,457,455,459,459,454,456,457,454,520
30,360,404,399,402,411,407,403,401,402,468
35,320,355,371,359,410,361,356,350,360,352
40,305,325,311,322,322,311,318,323,318,308
45,280,295,281,283,291,282,281,293,296,281
50,245,259,263,254,259,277,260,252,264,267
55,224,234,242,258,236,239,254,234,235,236
60,213,218,221,226,222,227,240,220,225,240
